Station,Year,Month,Year_Month,Tmax_C,Tmin_C,Frost_Day,Rain_mm
Armagh,2002,3,2002_3,11.6,3.8,5,56.5
Armagh,2002,4,2002_4,13,5.1,2,113.2
Armagh,2002,5,2002_5,15.5,7.2,0,107.8
Armagh,2002,6,2002_6,16.9,10.2,0,76.7
Armagh,2002,7,2002_7,17.9,11.2,0,102.8
Armagh,2002,8,2002_8,19.7,11.9,0,41.4
Armagh,2003,3,2003_3,12.4,2,8,32.1
Armagh,2003,4,2003_4,14.3,5.1,3,31.5
Armagh,2003,5,2003_5,14.7,7.4,0,108.6
Armagh,2003,6,2003_6,18.3,10.3,0,89.3
Armagh,2003,7,2003_7,19.8,13.1,0,78.7
Armagh,2003,8,2003_8,21.1,11.7,0,17.4
Armagh,2004,3,2004_3,10.9,3.1,5,58.5
Armagh,2004,4,2004_4,12.9,5.5,0,53.3
Armagh,2004,5,2004_5,16.5,7,0,51.9
Armagh,2004,6,2004_6,19,11.1,0,67.5
Armagh,2004,7,2004_7,18.5,11.1,0,49.7
Armagh,2004,8,2004_8,20.2,12.5,0,100.7
Armagh,2005,3,2005_3,11.4,4.2,5,47.2
Armagh,2005,4,2005_4,12.5,4.4,1,53.1
Armagh,2005,5,2005_5,15.1,6.1,0,76.7
Armagh,2005,6,2005_6,18.7,10.9,0,37.8
Armagh,2005,7,2005_7,19.6,12.2,0,66.9
Armagh,2005,8,2005_8,19.3,11.7,0,56.8
Armagh,2006,3,2006_3,9.5,2.1,8,90.5
Armagh,2006,4,2006_4,12.7,4,3,45.2
Armagh,2006,5,2006_5,15.6,6.9,0,95.7
Armagh,2006,6,2006_6,20.3,10.4,0,14.6
Armagh,2006,7,2006_7,23.4,12.7,0,57.9
Armagh,2006,8,2006_8,19.3,11.7,0,62.1
Armagh,2007,3,2007_3,10.9,2.8,5,66.8
Armagh,2007,4,2007_4,16.4,6.1,0,16.1
Armagh,2007,5,2007_5,16.4,6.9,0,49.8
Armagh,2007,6,2007_6,18.7,10.3,0,135.3
Armagh,2007,7,2007_7,18.8,10.9,0,131
Armagh,2007,8,2007_8,18.9,11.6,0,109.8
Armagh,2008,3,2008_3,10.1,2.4,5,90.2
Armagh,2008,4,2008_4,12.8,3.9,4,19.8
Armagh,2008,5,2008_5,18.3,8.1,0,20.4
Armagh,2008,6,2008_6,18.1,9.4,0,43.8
Armagh,2008,7,2008_7,19.6,12,0,94.9
Armagh,2008,8,2008_8,18.6,12.4,0,151.2
Armagh,2009,3,2009_3,11.1,2.9,6,32.8
Armagh,2009,4,2009_4,13.5,5.4,0,90.9
Armagh,2009,5,2009_5,15.4,7,0,77.7
Armagh,2009,6,2009_6,19.7,9.3,0,56.6
Armagh,2009,7,2009_7,19.5,12,0,97.6
Armagh,2009,8,2009_8,18.9,12,0,124.7
Armagh,2010,3,2010_3,10.5,0.9,12,83.7
Armagh,2010,4,2010_4,14.2,4.1,3,33.6
Armagh,2010,5,2010_5,15.7,6.2,0,41.8
Armagh,2010,6,2010_6,20.1,10.8,0,63.1
Armagh,2010,7,2010_7,19.6,12.4,0,122.2
Armagh,2010,8,2010_8,18.6,10.4,0,41
Armagh,2011,3,2011_3,11.1,2.5,7,50.7
Armagh,2011,4,2011_4,16.6,6.9,0,19.5
Armagh,2011,5,2011_5,15.1,8.2,0,68.8
Armagh,2011,6,2011_6,17,8.7,0,74
Armagh,2011,7,2011_7,19,10.8,0,32.9
Armagh,2011,8,2011_8,18.5,10.5,0,46.1
Armagh,2012,3,2012_3,13,4.9,2,16.6
Armagh,2012,4,2012_4,11.4,2.6,4,51.2
Armagh,2012,5,2012_5,15.9,6.4,0,50.5
Armagh,2012,6,2012_6,16.5,9.3,0,146.6
Armagh,2012,7,2012_7,18.2,10.6,0,113.7
Armagh,2012,8,2012_8,20,12.4,0,85.4
Armagh,2013,3,2013_3,6.4,0.3,13,90.2
Armagh,2013,4,2013_4,11.5,3.2,6,50.1
Armagh,2013,5,2013_5,14.9,6.3,0,75.7
Armagh,2013,6,2013_6,18.8,9.4,0,52.1
Armagh,2013,7,2013_7,23.1,13.3,0,54.6
Armagh,2013,8,2013_8,19.7,12.5,0,57.3
Armagh,2014,3,2014_3,10.6,3.2,4,66.8
Armagh,2014,4,2014_4,14.8,6.1,0,45.8
Armagh,2014,5,2014_5,16.2,8.1,0,63
Armagh,2014,6,2014_6,19.1,10.2,0,44.6
Armagh,2014,7,2014_7,21.4,11.6,0,56.2
Armagh,2014,8,2014_8,18.2,10,0,118.6
Armagh,2015,3,2015_3,10.5,1.4,12,49.8
