Variety,Year,Site,County,Region,Yield
TAVERN,2002,Laurencekirk,Aberdeenshire,North,NA
CELLAR,2002,Laurencekirk,Aberdeenshire,North,5.02
CHALICE,2002,Laurencekirk,Aberdeenshire,North,5.25
DECANTER,2002,Laurencekirk,Aberdeenshire,North,4.89
OPTIC,2002,Laurencekirk,Aberdeenshire,North,4.7
COLSTON,2002,Laurencekirk,Aberdeenshire,North,5.28
VORTEX,2002,Laurencekirk,Aberdeenshire,North,4.93
SEBASTIAN,2002,Laurencekirk,Aberdeenshire,North,5.12
NOVELLO,2002,Laurencekirk,Aberdeenshire,North,4.82
COCKTAIL,2002,Laurencekirk,Aberdeenshire,North,5.46
BARKE,2002,Laurencekirk,Aberdeenshire,North,4.44
PRESTIGE,2002,Laurencekirk,Aberdeenshire,North,5.03
SPIRE,2002,Laurencekirk,Aberdeenshire,North,5.32
COUNTY,2002,Laurencekirk,Aberdeenshire,North,5.19
STATIC,2002,Laurencekirk,Aberdeenshire,North,5.24
PEWTER,2002,Laurencekirk,Aberdeenshire,North,4.57
RIVIERA,2002,Laurencekirk,Aberdeenshire,North,4.76
KIRSTY,2002,Laurencekirk,Aberdeenshire,North,5.64
GLOBAL,2002,Laurencekirk,Aberdeenshire,North,5.02
TAVERN,2002,Inverurie,Aberdeenshire,North,6.32
CELLAR,2002,Inverurie,Aberdeenshire,North,6.27
CHALICE,2002,Inverurie,Aberdeenshire,North,5.91
DECANTER,2002,Inverurie,Aberdeenshire,North,5.92
OPTIC,2002,Inverurie,Aberdeenshire,North,5.67
COLSTON,2002,Inverurie,Aberdeenshire,North,6.16
VORTEX,2002,Inverurie,Aberdeenshire,North,6.38
SEBASTIAN,2002,Inverurie,Aberdeenshire,North,6.68
NOVELLO,2002,Inverurie,Aberdeenshire,North,6.18
COCKTAIL,2002,Inverurie,Aberdeenshire,North,6.72
BARKE,2002,Inverurie,Aberdeenshire,North,5.39
PRESTIGE,2002,Inverurie,Aberdeenshire,North,6.36
SPIRE,2002,Inverurie,Aberdeenshire,North,6.32
COUNTY,2002,Inverurie,Aberdeenshire,North,6.25
STATIC,2002,Inverurie,Aberdeenshire,North,6.23
PEWTER,2002,Inverurie,Aberdeenshire,North,6.22
RIVIERA,2002,Inverurie,Aberdeenshire,North,6.46
KIRSTY,2002,Inverurie,Aberdeenshire,North,6.61
GLOBAL,2002,Inverurie,Aberdeenshire,North,6.65
TAVERN,2002,Elgin,Moray,North,NA
CELLAR,2002,Elgin,Moray,North,8.96
CHALICE,2002,Elgin,Moray,North,8.97
DECANTER,2002,Elgin,Moray,North,8.04
OPTIC,2002,Elgin,Moray,North,8.68
COLSTON,2002,Elgin,Moray,North,8.53
VORTEX,2002,Elgin,Moray,North,8.62
SEBASTIAN,2002,Elgin,Moray,North,8.73
NOVELLO,2002,Elgin,Moray,North,8.62
COCKTAIL,2002,Elgin,Moray,North,8.09
BARKE,2002,Elgin,Moray,North,8.05
PRESTIGE,2002,Elgin,Moray,North,8.75
SPIRE,2002,Elgin,Moray,North,8.75
COUNTY,2002,Elgin,Moray,North,8.24
STATIC,2002,Elgin,Moray,North,8.61
PEWTER,2002,Elgin,Moray,North,8.58
RIVIERA,2002,Elgin,Moray,North,8.66
KIRSTY,2002,Elgin,Moray,North,8.86
GLOBAL,2002,Elgin,Moray,North,9.04
TAVERN,2002,Coupar Angus,Perth and Kinross,North,NA
CELLAR,2002,Coupar Angus,Perth and Kinross,North,5.63
CHALICE,2002,Coupar Angus,Perth and Kinross,North,5.51
DECANTER,2002,Coupar Angus,Perth and Kinross,North,5.37
OPTIC,2002,Coupar Angus,Perth and Kinross,North,5.56
COLSTON,2002,Coupar Angus,Perth and Kinross,North,5.96
VORTEX,2002,Coupar Angus,Perth and Kinross,North,6.19
SEBASTIAN,2002,Coupar Angus,Perth and Kinross,North,5.74
NOVELLO,2002,Coupar Angus,Perth and Kinross,North,5.4
COCKTAIL,2002,Coupar Angus,Perth and Kinross,North,6.28
BARKE,2002,Coupar Angus,Perth and Kinross,North,5.43
PRESTIGE,2002,Coupar Angus,Perth and Kinross,North,5.87
SPIRE,2002,Coupar Angus,Perth and Kinross,North,5.58
COUNTY,2002,Coupar Angus,Perth and Kinross,North,5.88
STATIC,2002,Coupar Angus,Perth and Kinross,North,5.39
PEWTER,2002,Coupar Angus,Perth and Kinross,North,5.74
RIVIERA,2002,Coupar Angus,Perth and Kinross,North,5.84
KIRSTY,2002,Coupar Angus,Perth and Kinross,North,5.96
GLOBAL,2002,Coupar Angus,Perth and Kinross,North,6.18
TAVERN,2002,Perth,Perth and Kinross,North,5.84
CELLAR,2002,Perth,Perth and Kinross,North,5.98
CHALICE,2002,Perth,Perth and Kinross,North,5.93
DECANTER,2002,Perth,Perth and Kinross,North,6.15
OPTIC,2002,Perth,Perth and Kinross,North,5.86
COLSTON,2002,Perth,Perth and Kinross,North,6.07
VORTEX,2002,Perth,Perth and Kinross,North,6.34
SEBASTIAN,2002,Perth,Perth and Kinross,North,6.31
NOVELLO,2002,Perth,Perth and Kinross,North,6.28
COCKTAIL,2002,Perth,Perth and Kinross,North,6.39
BARKE,2002,Perth,Perth and Kinross,North,5.51
PRESTIGE,2002,Perth,Perth and Kinross,North,6.34
SPIRE,2002,Perth,Perth and Kinross,North,6.45
COUNTY,2002,Perth,Perth and Kinross,North,6.05
STATIC,2002,Perth,Perth and Kinross,North,6.41
PEWTER,2002,Perth,Perth and Kinross,North,5.74
RIVIERA,2002,Perth,Perth and Kinross,North,6.35
KIRSTY,2002,Perth,Perth and Kinross,North,6.53
GLOBAL,2002,Perth,Perth and Kinross,North,6.45
TAVERN,2002,St Andrews,Fife,North,NA
CELLAR,2002,St Andrews,Fife,North,5.32
CHALICE,2002,St Andrews,Fife,North,5.8
DECANTER,2002,St Andrews,Fife,North,5.57
OPTIC,2002,St Andrews,Fife,North,5.67
COLSTON,2002,St Andrews,Fife,North,5.45
VORTEX,2002,St Andrews,Fife,North,5.77
SEBASTIAN,2002,St Andrews,Fife,North,6.15
NOVELLO,2002,St Andrews,Fife,North,6.03
COCKTAIL,2002,St Andrews,Fife,North,6.01
BARKE,2002,St Andrews,Fife,North,5.47
PRESTIGE,2002,St Andrews,Fife,North,5.97
SPIRE,2002,St Andrews,Fife,North,5.82
COUNTY,2002,St Andrews,Fife,North,5.98
STATIC,2002,St Andrews,Fife,North,5.73
PEWTER,2002,St Andrews,Fife,North,5.43
RIVIERA,2002,St Andrews,Fife,North,6.29
KIRSTY,2002,St Andrews,Fife,North,5.99
GLOBAL,2002,St Andrews,Fife,North,5.99
TAVERN,2002,Edinburgh,City of Edinburgh,North,7.51
CELLAR,2002,Edinburgh,City of Edinburgh,North,7.44
CHALICE,2002,Edinburgh,City of Edinburgh,North,7.57
DECANTER,2002,Edinburgh,City of Edinburgh,North,7.34
OPTIC,2002,Edinburgh,City of Edinburgh,North,7.83
COLSTON,2002,Edinburgh,City of Edinburgh,North,7.52
VORTEX,2002,Edinburgh,City of Edinburgh,North,7.51
SEBASTIAN,2002,Edinburgh,City of Edinburgh,North,7.49
NOVELLO,2002,Edinburgh,City of Edinburgh,North,7.54
COCKTAIL,2002,Edinburgh,City of Edinburgh,North,7.81
BARKE,2002,Edinburgh,City of Edinburgh,North,7.26
PRESTIGE,2002,Edinburgh,City of Edinburgh,North,7.39
